Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;genres_clean;text_combined;
sendu melagu;Taifun;barasuara;16/10/2015;247582.0;42.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.6952479338842976;0.6990480090080867;0.726686580212735;0.03333333333333334;0.0012613730966664295;0.43838383838383843;0.2091496563750128;0.4407294832826748;0.6546220360549462;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
bahas bahasa;Taifun;barasuara;16/10/2015;268854.0;44.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.5175619834710744;0.648889343842768;0.7532784496575842;0.03916666666666667;0.009050356491217153;0.0026969696969696972;0.17530003077238687;0.1904761904761905;0.6404536124604111;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
hagia;Taifun;barasuara;16/10/2015;166390.0;43.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.49173553719008267;0.6325110041969495;0.7501821360920881;0.04645833333333334;0.00017694560212188387;0.013030303030303031;0.10554928710636989;0.2857142857142857;0.6408947793701065;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
api dan lentera;Taifun;barasuara;16/10/2015;263637.0;48.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.4018595041322315;0.8392875422254068;0.7697071251639225;0.046041666666666675;0.0005116206305587085;0.023535353535353538;0.10965227202790029;0.3951367781155016;0.5623113430978276;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
menunggang badai;Taifun;barasuara;16/10/2015;303085.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.5506198347107439;0.8761388064284983;0.7924377094565059;0.04020833333333334;0.005794058917237237;0.27171717171717175;0.07959790747769002;0.7092198581560284;0.4365973492834521;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
tarintih;Taifun;barasuara;16/10/2015;281725.0;33.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.4793388429752067;0.6826696693622684;0.8076642867550634;0.030833333333333338;0.00039604216728473;0.003484848484848485;0.07570007180223613;0.2380952380952381;0.6501778599225405;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
mengunci ingatan;Taifun;barasuara;16/10/2015;270978.0;51.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.5557851239669422;0.8966117309857713;0.7737141191898588;0.038437500000000006;0.00016488524073677305;0.20202020202020204;0.20607241768386497;0.27963525835866265;0.3922438213413332;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
taifun;Taifun;barasuara;16/10/2015;271644.0;40.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:48Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;PT. Universal Music Indonesia Distributed Labels;0.5506198347107439;0.4482546831814925;0.7913084656855603;0.024895833333333336;0.06331193242306148;0.08383838383838385;0.15170786747358703;0.1904761904761905;0.6598881757980477;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
terbuang dalam waktu instrumental;Terbuang Dalam Waktu (Instrumental);barasuara;25/07/2025;279234.0;36.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:52Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.21384297520661158;0.7072371788309959;0.7785589392393998;0.034375;0.0035729423621459985;0.8515151515151516;0.2696686839675864;0.22188449848024316;0.4806072314222292;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
terbuang dalam waktu piano instrumental;Terbuang Dalam Waktu (Instrumental);barasuara;25/07/2025;236377.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:52Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Hu Shah Records;0.631198347107438;0.25785648479885354;0.38237651172956433;0.045000000000000005;0.9798993976914818;0.9313131313131314;0.08349574315314391;0.17933130699088146;0.4410090183804066;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
seribu racun;Pikiran dan Perjalanan;barasuara;08/03/2019;211814.0;37.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.5712809917355373;0.8525949431876343;0.8270071397348099;0.038229166666666675;0.0010000652666556956;0.011111111111111112;0.10452354087598728;0.49138804457953394;0.5853866944060037;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
pikiran dan perjalanan;Pikiran dan Perjalanan;barasuara;08/03/2019;272305.0;52.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.609504132231405;0.911966424403726;0.7940405070668805;0.05041666666666667;0.005301594160678546;0.00198989898989899;0.22453584983075187;0.8905775075987843;0.4039881488636469;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
guna manusia;Pikiran dan Perjalanan;barasuara;08/03/2019;269152.0;42.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.38119834710743805;0.877162452656362;0.7689421535771529;0.03625;0.01728155313655527;0.006242424242424243;0.16401682223817823;0.7244174265450861;0.5988074561851601;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
pancarona;Pikiran dan Perjalanan;barasuara;08/03/2019;261379.0;64.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.5103305785123967;0.9048009008086805;0.7511292437709457;0.04645833333333334;0.0023066044167093652;0.40101010101010104;0.17427428454200428;0.27152988855116517;0.41782221437925493;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
tentukan arah;Pikiran dan Perjalanan;barasuara;08/03/2019;274185.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.22933884297520665;0.5332173200941754;0.6758341833017631;0.03833333333333334;0.47537427974768026;0.021616161616161617;0.11272951071904809;0.2634245187436677;0.8355794146876074;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
masa mesias mesias;Pikiran dan Perjalanan;barasuara;08/03/2019;189001.0;30.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:18:56Z;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;Darlin' Records;0.3842975206611571;0.9825980141263179;0.8152411481859245;0.0596875;2,96E+11;0.6515151515151516;0.25735972920299516;0.689969604863222;0.9007328014563152;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock;indonesian indie indonesian indie rock indonesian rock indonesian pop indorock barasuara;
