judul;k;TP;total_relevan_dataset;precision_k;recall_k;f1_k
kita usahakan lagi;10;10;5025;1.0;0.001990049751243781;0.003972194637537239
nyala suara;10;10;4996;1.0;0.0020016012810248197;0.003995205753096284
terbuang dalam waktu piano instrumental;10;3;4996;0.3;0.0006004803843074459;0.0011985617259288853
paling mahir;10;10;4971;1.0;0.0020116676725005027;0.004015257980325235
long nights slow mornings;10;10;4971;1.0;0.0020116676725005027;0.004015257980325235
inginku;10;10;4971;1.0;0.0020116676725005027;0.004015257980325235
percayalah;10;10;4971;1.0;0.0020116676725005027;0.004015257980325235
